parent,formal_parent,src,dst,n_src,n_dst,graph_action,delta_U_rel,delta_U0,barrier_U_rel,direction,path_n_nodes,path_frac_src,path_frac_dst,path_frac_other,src_peak_day,dst_peak_day,transfer_proxy,composition,reverse_action,action_ratio,reversible,keep,keep_reason
macrophages,Macrophages,Cd163-/Cd11c+ IMs,M2 macrophages,734,2361,0.6674732543851077,0.5073036214353737,0.0002114443252979603,1.4537915421128358,climb,44,0.045454545454545456,0.13636363636363635,0.8181818181818182,7.0,10.0,0.1595169928877307,strong,0.6677035439176872,1.0003450168678163,True,False,not_kept
macrophages,Macrophages,Cd163-/Cd11c+ IMs,Resolution macrophages,734,1935,0.4543996629250712,0.4629718472154235,0.00019296682643316077,1.4537915421128358,climb,32,0.09375,0.375,0.53125,7.0,7.0,0.0016412795853409132,weak,0.4498726274436533,0.9900373264952126,True,False,not_kept
macrophages,Macrophages,Cd163-/Cd11c+ IMs,Fn1+ macrophages,734,247,0.42362839749841175,0.15264358497038222,6.362189913766692e-05,1.4537915421128358,climb,27,0.07407407407407407,0.1111111111111111,0.8148148148148149,7.0,14.0,0.0,none,0.42748483220438654,1.0091033432313286,True,False,not_kept
macrophages,Macrophages,Cd163-/Cd11c+ IMs,Cd163+/Cd11c- IMs,734,480,0.16653093856363035,0.08554677425903218,3.5655925170519076e-05,0.36023026702559857,climb,11,0.09090909090909091,0.18181818181818182,0.7272727272727273,7.0,3.0,0.0,weak,0.1675834522407466,1.0063202290528601,True,True,mst+local_cheap
macrophages,Macrophages,Cd163+/Cd11c- IMs,AM (PBS),480,1194,0.5206772124991577,-0.06298953974078908,-2.6254062002628586e-05,0.29459084957234305,relax,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,3.0,0.0,0.00022537661821318087,weak,0.5221250160560568,1.0027806163226294,True,False,not_kept
macrophages,Macrophages,Cd163+/Cd11c- IMs,AM (Bleo),480,3286,0.21527662417202373,0.5163584181710749,0.00021521836771670744,0.9404026343629753,climb,15,0.13333333333333333,0.3333333333333333,0.5333333333333334,3.0,21.0,0.009595673659935532,medium,0.1878324305254285,0.8725166108813673,True,True,mst+local_cheap
macrophages,Macrophages,Cd163+/Cd11c- IMs,M2 macrophages,480,2361,0.5521405616652407,0.4217568471763415,0.00017578840012744124,0.760072992950002,climb,31,0.06451612903225806,0.22580645161290322,0.7096774193548387,3.0,10.0,0.012605952697806937,strong,0.5483658316291028,0.9931634618080827,True,False,not_kept
macrophages,Macrophages,Cd163+/Cd11c- IMs,Resolution macrophages,480,1935,0.3403264101308499,0.3774250729563913,0.0001573109012626417,1.6263988991195437,climb,26,0.11538461538461539,0.4230769230769231,0.4615384615384615,3.0,7.0,0.03784650739157841,strong,0.33053491515506883,0.971229106277742,True,False,not_kept
macrophages,Macrophages,Cd163+/Cd11c- IMs,Fn1+ macrophages,480,247,0.300643493047239,0.06709681071135004,2.796597396714784e-05,0.5288334765623907,climb,15,0.06666666666666667,0.13333333333333333,0.8,3.0,14.0,0.0023658166837172254,none,0.30568975835146855,1.0167848811629525,True,False,not_kept
macrophages,Macrophages,Cd163+/Cd11c- IMs,Cd163-/Cd11c+ IMs,480,734,0.1675834522407466,-0.08554677425903218,-3.5655925170519076e-05,0.5328376240323063,relax,11,0.18181818181818182,0.18181818181818182,0.6363636363636362,3.0,7.0,0.02690198641216222,strong,0.16653093856363035,0.9937194653527129,True,True,mst+local_cheap
