gene,score,logfoldchange,pval,pval_adj,comparison,direction
CAMK2N1,-16.779747,-2.0969925,3.432969195597774e-63,3.1208810869070675e-61,deep_valley_vs_other_EOC,down_in_group_1
CCND1,-16.77601,-1.0979607,3.655922941124252e-63,3.225814359815516e-61,deep_valley_vs_other_EOC,down_in_group_1
CRYAB,-16.674026,-1.758473,2.024864586588932e-62,1.735598217076227e-60,deep_valley_vs_other_EOC,down_in_group_1
SNHG7,-16.500727,-1.0752478,3.624989532496992e-61,3.02082461041416e-59,deep_valley_vs_other_EOC,down_in_group_1
GSTP1,-16.401613,-0.637295,1.8622442249628318e-60,1.5099277499698636e-58,deep_valley_vs_other_EOC,down_in_group_1
C3,16.348835,1.1540359,4.433763888221847e-60,3.500339911754089e-58,deep_valley_vs_other_EOC,up_in_group_1
HCFC1R1,-16.291477,-1.0633677,1.1345545219165085e-59,8.727342476280834e-58,deep_valley_vs_other_EOC,down_in_group_1
GSDMD,-16.135395,-1.2938048,1.4388365078095269e-58,1.079127380857145e-56,deep_valley_vs_other_EOC,down_in_group_1
MUC1,15.987786,0.8983364,1.5545785044338537e-57,1.1374964666589169e-55,deep_valley_vs_other_EOC,up_in_group_1
BCAM,15.977838,0.7015836,1.823642555909016e-57,1.2997741329267253e-55,deep_valley_vs_other_EOC,up_in_group_1
GLUL,15.976505,0.84281516,1.8630095905283065e-57,1.2997741329267253e-55,deep_valley_vs_other_EOC,up_in_group_1
UPK1B,-15.935403,-2.5712054,3.598730288759616e-57,2.4536797423361014e-55,deep_valley_vs_other_EOC,down_in_group_1
MT-CO1,15.871941,0.7112632,9.91286219439796e-57,6.608574796265306e-55,deep_valley_vs_other_EOC,up_in_group_1
PERP,-15.849222,-0.8718781,1.4233223832945017e-56,9.282537282355443e-55,deep_valley_vs_other_EOC,down_in_group_1
PHLDA3,-15.828714,-1.0629903,1.9720896212517289e-56,1.2587806093096144e-54,deep_valley_vs_other_EOC,down_in_group_1
